Track,Race Speed,Time,Character,Vehicle,Tires,Glider
Mario Kart Stadium,150cc,"1'33""966",Yoshi,Cat Cruiser,Cushion,Paper Glider
Mario Kart Stadium,200cc,"1'06""993",Red Yoshi,Teddy Buggy,Azure Roller,Paper Glider
Water Park,150cc,"1'38""763",Light-blue Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Water Park,200cc,"1'10""331",Luigi,Inkstriker,Azure Roller,Paper Glider
Sweet Sweet Canyon,150cc,"1'47""708",Light-blue Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Sweet Sweet Canyon,200cc,"1'20""698",Yoshi,Biddybuggy,Roller,Paper Glider
Thwomp Ruins,150cc,"1'46""988",Light-blue Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Thwomp Ruins,200cc,"1'15""654",Kamek,Mach 8,Roller,Parachute
Mario Circuit,150cc,"1'43""723",Pink Yoshi,Biddybuggy,Azure Roller,Paper Glider
Mario Circuit,200cc,"1'12""617",Heavy Mii Moo Moo,Mach 8,Slim,Paper Glider
Toad Harbor,150cc,"2'01""498",Orange Yoshi,Varmint,Azure Roller,Paper Glider
Toad Harbor,200cc,"1'25""990",Heavy Mii Cheep Cheep,B Dasher,Crimson Slim,Super Glider
Twisted Mansion,150cc,"1'53""210",Pink Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Twisted Mansion,200cc,"1'21""982",Heavy Mii Bowser,Yoshi Bike,Wood,Paper Glider
Shy Guy Falls,150cc,"1'55""171",Blue Yoshi,Teddy Buggy,Azure Roller,Paper Glider
Shy Guy Falls,200cc,"1'25""553",Luigi,Inkstriker,Crimson Slim,Paper Glider
Sunshine Airport,150cc,"1'56""971",Pink Yoshi,Teddy Buggy,Azure Roller,Paper Glider
Sunshine Airport,200cc,"1'27""688",Luigi,Teddy Buggy,Azure Roller,Paper Glider
Dolphin Shoals,150cc,"1'51""943",White Yoshi,Streetle,Azure Roller,Paper Glider
Dolphin Shoals,200cc,"1'21""723",Light-blue Yoshi,Streetle,Azure Roller,Paper Glider
Electrodrome,150cc,"1'55""086",White Yoshi,Biddybuggy,Azure Roller,Paper Glider
Electrodrome,200cc,"1'21""669",Luigi,Inkstriker,Crimson Slim,Paper Glider
Mount Wario,150cc,"1'40""269",Black Yoshi,Biddybuggy,Azure Roller,Paper Glider
Mount Wario,200cc,"1'14""991",King Boo,Inkstriker,Azure Roller,Paper Glider
Cloudtop Cruise,150cc,"1'59""262",Black Yoshi,Inkstriker,Azure Roller,Paper Glider
Cloudtop Cruise,200cc,"1'28""709",Heavy Mii Toadette,Teddy Buggy,Azure Roller,Paper Glider
Bone-Dry Dunes,150cc,"1'46""382",Pink Yoshi,Biddybuggy,Azure Roller,Paper Glider
Bone-Dry Dunes,200cc,"1'19""265",Ludwig,Teddy Buggy,Azure Roller,Paper Glider
Bowser's Castle,150cc,"1'57""655",Red Yoshi,Biddybuggy,Azure Roller,Paper Glider
Bowser's Castle,200cc,"1'25""568",Luigi,Inkstriker,Crimson Slim,Paper Glider
Rainbow Road,150cc,"1'58""302",Light-blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
Rainbow Road,200cc,"1'31""433",Luigi,Biddybuggy,Azure Roller,Paper Glider
Wii Moo Moo Meadows,150cc,"1'23""402",Yellow Yoshi,Biddybuggy,Azure Roller,Parachute
Wii Moo Moo Meadows,200cc,"0'58""418",Heavy Mii Moo Moo,Circuit Special,Slim,Super Glider
GBA Mario Circuit,150cc,"1'22""860",Light-blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
GBA Mario Circuit,200cc,"0'59""862",Kamek,Inkstriker,Crimson Slim,Paper Glider
DS Cheep Cheep Beach,150cc,"1'46""080",Light-blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
DS Cheep Cheep Beach,200cc,"1'15""077",Light-blue Yoshi,Landship,Azure Roller,Paper Glider
N64 Toad's Turnpike,150cc,"1'45""161",Light-blue Yoshi,Mr. Scooty,Azure Roller,Paper Glider
N64 Toad's Turnpike,200cc,"1'12""049",Wario,Sport Bike,Metal,Gold Glider
GCN Dry Dry Desert,150cc,"1'51""955",Yellow Yoshi,Biddybuggy,Azure Roller,Paper Glider
GCN Dry Dry Desert,200cc,"1'16""879",Yellow Yoshi,Streetle,Retro Off-Road,Paper Glider
SNES Donut Plains 3,150cc,"1'12""432",Pink Yoshi,Mr. Scooty,Azure Roller,Paper Glider
SNES Donut Plains 3,200cc,"0'55""241",Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
N64 Royal Raceway,150cc,"1'54""652",Pink Yoshi,Teddy Buggy,Roller,Paper Glider
N64 Royal Raceway,200cc,"1'23""314",Luigi,Teddy Buggy,Crimson Slim,Super Glider
3DS DK Jungle,150cc,"1'59""979",Yellow Yoshi,Teddy Buggy,Azure Roller,Paper Glider
3DS DK Jungle,200cc,"1'26""667",Luigi,Teddy Buggy,Azure Roller,Paper Glider
DS Wario Stadium,150cc,"1'49""727",Light-blue Yoshi,Teddy Buggy,Azure Roller,Paper Glider
DS Wario Stadium,200cc,"1'21""064",Luigi,Teddy Buggy,Azure Roller,Paper Glider
GCN Sherbet Land,150cc,"1'46""298",Birdo (Light Blue),Biddybuggy,Azure Roller,Paper Glider
GCN Sherbet Land,200cc,"1'16""130",White Yoshi,Koopa Clown,Sponge,Paper Glider
3DS Music Park,150cc,"1'49""681",Yellow Yoshi,Biddybuggy,Azure Roller,Paper Glider
3DS Music Park,200cc,"1'23""309",Rosalina,W 25 Silver Arrow,Azure Roller,Super Glider
N64 Yoshi Valley,150cc,"1'57""408",Yellow Yoshi,Biddybuggy,Azure Roller,Paper Glider
N64 Yoshi Valley,200cc,"1'23""992",White Yoshi,Pipe Frame,Slim,Super Glider
DS Tick-Tock Clock,150cc,"1'40""997",Light-blue Yoshi,Biddybuggy,Roller,Flower Glider
DS Tick-Tock Clock,200cc,"1'12""658",Pink Yoshi,Pipe Frame,Azure Roller,Paper Glider
DS Tick-Tock Clock,200cc,"1'12""658",Peach,Pipe Frame,Azure Roller,Parachute
3DS Piranha Plant Slide,150cc,"1'57""797",Black Yoshi,Biddybuggy,Azure Roller,Paper Glider
3DS Piranha Plant Slide,200cc,"1'25""870",Iggy,Mach 8,Crimson Slim,Cloud Glider
Wii Grumble Volcano,150cc,"1'51""801",Daisy,Teddy Buggy,Azure Roller,Cloud Glider
Wii Grumble Volcano,200cc,"1'21""080",Yellow Yoshi,Varmint,Azure Roller,Paper Glider
N64 Rainbow Road,150cc,"1'19""122",Pink Yoshi,Biddybuggy,Azure Roller,Paper Glider
N64 Rainbow Road,200cc,"0'56""335",Dry Bowser,Mach 8,Leaf Tires,Paper Glider
GCN Yoshi Circuit,150cc,"1'41""072",Yellow Yoshi,Mr. Scooty,Azure Roller,Paper Glider
